Wall time,Step,Value
1735223487.5218477,3,4.332076072692871
1735223488.6384544,4,2.063509941101074
1735223495.3255732,10,2.230232000350952
1735223499.7845306,14,1.8592296838760376
1735223500.8989346,15,1.7497807741165161
1735223504.242653,18,1.4930602312088013
1735223505.3570561,19,1.4250705242156982
1735223506.4713738,20,1.4172090291976929
1735223508.7003863,22,1.4559921026229858
1735223509.815302,23,1.491249918937683
1735223513.1596096,26,1.3522990942001343
1735223514.2741146,27,1.3407196998596191
1735223520.9604747,33,1.3410215377807617
1735223524.3042662,36,1.3689241409301758
1735223525.4192317,37,1.355850338935852
1735223526.5336394,38,1.348669409751892
1735223528.7624638,40,1.3024733066558838
1735223536.5636337,47,1.2893799543380737
1735223537.6777902,48,1.2787883281707764
1735223538.7922685,49,1.285547137260437
1735223541.0216799,51,1.309277057647705
1735223542.1360831,52,1.299170732498169
1735223544.3644166,54,1.2599773406982422
1735223547.7071521,57,1.2827658653259277
1735223551.0504196,60,1.2706784009933472
1735223552.164578,61,1.2775163650512695
1735223553.2787771,62,1.240978717803955
1735223554.3930788,63,1.2635571956634521
1735223556.6217241,65,1.2699811458587646
1735223557.736052,66,1.231350302696228
1735223558.8502793,67,1.2311687469482422
1735223559.9646988,68,1.2504256963729858
1735223562.1937387,70,1.2483465671539307
1735223563.3079247,71,1.2400660514831543
1735223569.9950001,77,1.214238166809082
1735223572.2237837,79,1.1998066902160645
1735223573.3381374,80,1.1813253164291382
1735223575.566434,82,1.207639217376709
1735223578.9093175,85,1.1510155200958252
1735223583.366396,89,1.1165777444839478
1735223584.4807625,90,1.1219838857650757
1735223594.5093842,99,1.015303134918213
1735223595.6234171,100,0.9883378148078918
1735223598.9664774,103,0.9719923138618469
1735223602.310181,106,0.9328324198722839
1735223603.424538,107,0.9087041020393372
1735223605.6534946,109,0.8986469507217407
1735223613.4530585,116,0.8680847883224487
1735223619.0243442,121,0.8696314692497253
1735223623.4815772,125,0.8473069071769714
1735223624.5957398,126,0.8636248707771301
1735223626.8240333,128,0.8733649253845215
1735223629.0533125,130,0.8956259489059448
1735223630.167869,131,0.8764218091964722
1735223631.2821414,132,0.8509126305580139
1735223635.7395353,136,0.8642987012863159
1735223636.8537424,137,0.8654035329818726
1735223644.653846,144,0.8647209405899048
1735223646.8826597,146,0.8740659952163696
1735223647.996733,147,0.8731017112731934
1735223651.3393867,150,0.8734192252159119
1735223659.1397622,157,0.8626312613487244
1735223661.3684618,159,0.8787908554077148
1735223662.4828863,160,0.8474293351173401
1735223664.7115064,162,0.8648146390914917
1735223666.940158,164,0.8684248924255371
1735223673.6269498,170,0.8569725155830383
1735223674.7410316,171,0.865909993648529
1735223675.8551779,172,0.8440852165222168
1735223679.198359,175,0.8607286810874939
1735223680.3127527,176,0.8907747268676758
1735223681.4271467,177,0.8653950691223145
1735223682.541375,178,0.8699084520339966
1735223684.7698588,180,0.8687068223953247
1735223685.8841262,181,0.8622295260429382
1735223689.2271163,184,0.8836455941200256
1735223690.341687,185,0.8719068169593811
1735223691.4563038,186,0.8609025478363037
1735223695.9139256,190,0.8602034449577332
1735223697.028128,191,0.857907772064209
1735223698.1425102,192,0.862153947353363
1735223701.4854977,195,0.8541129231452942
1735223705.9430568,199,0.8817525506019592
1735223707.057344,200,0.8489333391189575
1735223709.2859645,202,0.8678590655326843
1735223710.4001338,203,0.8811773657798767
1735223711.5145626,204,0.8798333406448364
1735223712.6295307,205,0.9068090319633484
1735223714.8582346,207,0.8675022721290588
1735223717.086565,209,0.8610025644302368
1735223719.3152678,211,0.8570563793182373
1735223721.5439625,213,0.8811621069908142
1735223723.7728136,215,0.8651877641677856
1735223724.8872552,216,0.8763976097106934
1735223727.1157103,218,0.8683865666389465
1735223728.2300963,219,0.8700592517852783
1735223729.3444986,220,0.8492623567581177
1735223730.4587739,221,0.8687833547592163
1735223731.5730286,222,0.8540029525756836
1735223733.8015347,224,0.8567573428153992
1735223734.9158075,225,0.8746146559715271
1735223739.3743544,229,0.8599774241447449
1735223746.060337,235,0.846405565738678
1735223748.2890623,237,0.8641117811203003
1735223749.4038746,238,0.8611173629760742
1735223750.5184588,239,0.8554015755653381
1735223752.747099,241,0.8748682141304016
1735223753.8616087,242,0.8601166009902954
1735223756.090511,244,0.8489265441894531
1735223757.204651,245,0.8299300074577332
1735223758.3191006,246,0.8516104817390442
1735223759.433331,247,0.8467388153076172
1735223765.0056894,252,0.859705924987793
1735223766.1202064,253,0.862799882888794
1735223767.2346258,254,0.8676701188087463
1735223771.6920469,258,0.8453876972198486
1735223772.806483,259,0.8128786087036133
1735223773.9210682,260,0.934471070766449
1735223776.1495435,262,0.8616116642951965
1735223785.0654354,270,0.8573632836341858
1735223786.179771,271,0.8680367469787598
1735223789.5235505,274,0.8712665438652039
1735223791.7523026,276,0.8526549935340881
1735223793.981091,278,0.8568080067634583
1735223796.209773,280,0.85377436876297
1735223798.4384215,282,0.8497060537338257
1735223799.5528674,283,0.8752647638320923
1735223801.7824943,285,0.8736268877983093
1735223804.0111792,287,0.8701301217079163
1735223805.1256208,288,0.8505587577819824
1735223807.3542,290,0.863747775554657
1735223812.9262438,295,0.8443652391433716
1735223814.0405846,296,0.8664513230323792
1735223815.1550412,297,0.8648618459701538
1735223816.269336,298,0.8657757639884949
1735223825.1843617,306,0.8334418535232544
1735223827.4134989,308,0.8332112431526184
1735223828.5279307,309,0.8482845425605774
1735223831.8709478,312,0.8302684426307678
1735223832.9852777,313,0.8547086715698242
1735223836.3282616,316,0.8515846133232117
1735223838.5571797,318,0.8355576992034912
1735223839.6717212,319,0.8458377718925476
1735223843.0151198,322,0.8528176546096802
1735223845.2437577,324,0.8501920104026794
1735223850.8153415,329,0.8228402733802795
1735223851.9297264,330,0.8288821578025818
1735223853.043892,331,0.8109932541847229
1735223854.1582863,332,0.8293030858039856
1735223859.7301915,337,0.8229404091835022
1735223860.8444076,338,0.9530078768730164
1735223863.072986,340,0.9312136173248291
1735223866.417543,343,0.9094560742378235
1735223867.5319347,344,0.9288861155509949
1735223868.6463327,345,0.908145010471344
1735223869.7607703,346,0.889323890209198
1735223871.9899614,348,0.8621563911437988
1735223874.2188902,350,0.8521400094032288
1735223876.4474814,352,0.8495651483535767
1735223877.5617883,353,0.8551703691482544
1735223878.676194,354,0.8312459588050842
1735223883.1337368,358,0.8441745638847351
1735223887.5917606,362,0.8252354264259338
1735223888.7062387,363,0.8386602401733398
1735223889.8205473,364,0.8235450983047485
